count.of.agents,random.seed,stop.at
100,1542210362,2
100,1542538831,2
100,1542539088,2
100,1542539149,2
100,1542539158,2
100,1542539210,2
100,1542539251,2
100,1542539312,2
100,1542539419,2
100,1542539495,2
100,1542539579,2
100,1542539597,2
100,1542539599,2
100,1542539601,2
100,1542539602,2
100,1542539603,2
100,1542539657,2
100,1542539658,2
